citation_key,entry_type,author,year,title,journal_or_booktitle,doi
5100393,article,Zuheng Ming and Muriel Visani and Muhammad Muzzamil Luqman and Jean-Christophe Burie,2020,A Survey on Anti-Spoofing Methods for Facial Recognition with RGB Cameras of Generic Consumer Devices,Journal of Imaging,10.3390/jimaging6120139
5311349,inproceedings,"Bakkar, Mahmoud and Alazab, Ammar",2019,Designing Security Intelligent Agent for Petrol Theft Prevention,2019 Cybersecurity and Cyberforensics Conference (CCC),10.1109/CCC.2019.00006
5669458,article,"Ellavarason, Elakkiya and Guest, Richard and Deravi, Farzin and Sanchez-Reillo, Raul and Corsetti, Barbara",2020,Touch-Dynamics Based Behavioural Biometrics on Mobile Devices: A Review from a Usability and Performance Perspective,ACM Computing Surveys,10.1145/3394713
5694014,article,"Baig, Ahmed Fraz and Eskeland, Sigurd",2021,"Security, Privacy, and Usability in Continuous Authentication: A Survey",Sensors,10.3390/s21175967
5862245,article,"Zhao, Junhui and Hu, Huanhuan and Huang, Fanwei and Guo, Yingxuan and Liao, Longxia",2023,Cross-Domain Anonymous Authentication for Vehicular Networks Using Blockchain,Electronics,
5928281,article,Maro Choi and Shincheol Lee and Minjae Jo and Ji Sun Shin,2021,Keystroke Dynamics-Based Authentication Using Unique Keypad,Sensors,10.3390/s21062242
5947769,article,Aybuke Kececi and Armagan Yildirak and Kaan Ozyazici and Gulsen Ayluctarhan and Onur Agbulut and Ibrahim Zincir,2020,Gait Recognition Using Siamese Neural Networks with Wearable Sensors,"Engineering Science and Technology, an International Journal",10.1016/j.jestch.2020.01.005
6191100,inproceedings,"Yu, Chaojia and Cheng, Zihan and Cui, Hanwen and Gao, Yishuo and Luo, Zexu and Wang, Yijin and Zheng, Hangbin and Zhao, Yong",2025,A Survey on Agent Workflow – Status and Future,2025 8th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD64986.2025.11082076
6561980,article,"Ntizikira, Ernest and Wang, Lei and Alblehai, Fahad and Saleem, Kiran and Lodhi, Muhammad Ali",2023,Federated Learning for Intrusion Detection in UAV and IoT Networks,Sensors,10.3390/s23198077
6815811,article,"Wang, Yajie and Zhang, Xiaomei and Hu, Haomin",2023,Continuous User Authentication on Multiple Smart Devices,Information,10.3390/info14050274
7215011,article,Junhong Kim and Pilsung Kang,2020,Freely typed keystroke dynamics-based user authentication for mobile devices based on heterogeneous features,Pattern Recognition,https://doi.org/10.1016/j.patcog.2020.107556
7414118,article,Giuseppe Stragapede and Paula Delgado-Santos and Ruben Tolosana and Ruben Vera-Rodriguez and Richard Guest and Aythami Morales,2023,Mobile Keystroke Biometrics Using Transformers,,10.1109/FG57933.2023.10042710
7472295,article,AMJAD QASHLAN and PRIYADARSI NANDA and XIANGJIAN HE and MANORANJAN MOHANTY,2021,Privacy-Preserving Mechanism in Smart Home Using Blockchain,,10.1109/ACCESS.2021.3098795
7744929,article,Wenjuan Lia and Jiao Tan and Weizhi Meng and Yu Wang,2020,Swipe-Based Authentication Using One-Class Classification on Mobile Devices,Journal of Network and Computer Applications,10.1016/j.jnca.2020.102687
7777792,article,Myoungsu Kim and Insu Oh and Kangbin Yim and Mahdi Sahlabadi and Zarina Shukur,2017,Blockchain-Based Authentication for 6G-Enabled V2X Communications,IEEE Access,10.1109/ACCESS.2017.Doi Number
8060732,article,Zhuohang Li and Cong Shi and Yi Xie and Jian Liu and Bo Yuan and Yingying Chen,2020,Practical Adversarial Attacks Against Speaker Recognition Systems,,10.1145/3376897.3377856
8113801,article,B. D. Deebak and Seong Oun Hwang,2023,Privacy-Preserving Federated Learning Authentication for IoMT,Electronics,10.3390/electronics12051250
8475861,article,Chen Wang and Yan Wang and Yingying Chen and Hongbo Liu and Jian Liu,2020,"User Authentication on Mobile Devices: Approaches, Threats and Trends",Computer Networks,https://doi.org/10.1016/j.comnet.2020.107118
8507337,article,Juan E. Tapia and Sebastian Gonzalez and Christoph Busch,2022,Iris Liveness Detection Using a Cascade of Dedicated Deep Learning Networks,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2021.3132582
8632605,article,"Finnegan, O. L. and White III, J. W. and Armstrong, B. and E. L. Adams and S. Burkart and M. W. Beets and S. Nelakuditi and E. A. Willis and L. von Klinggraeff and H. Parker and M. Bastyr and X. Zhu and Z. Zhong and R. G. Weaver",2024,Systematic Reviews \\ The utility of \textbf{behavioral biometrics} in \textbf{user} \\ authentication and \textbf{demographic} characteristic \\ detection: a \textbf{scoping} review,Systematic Reviews,10.1186/s13643-024-02451-1
8774044,article,"Hernández Sánchez, Sara and Fernández Pozo, Rubén and Hernández Gómez, Luis Alfonso",2022,Driver Identification and Verification From Smartphone Accelerometers Using Deep Neural Networks,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3008210
8822223,article,"Ackerson, Joseph M. and Dave, Rushit and Seliya, Naeem",2021,Continuous Authentication Using Recurrent Neural Networks on Behavioral Biometrics,Information,10.3390/info12070272
8981679,article,Haftay Gebreslasie Abreha and Mohammad Hayajneh and Mohamed Adel Serhani,2022,Federated Learning in Edge Computing: A Systematic Survey,Sensors,10.3390/s22020450
8986952,article,Haohua Huang and Pan Zhou and Ye Li and Fangmin Sun,2021,A Lightweight Attention-Based CNN Model for Efficient Gait Recognition with Wearable IMU Sensors,Sensors,10.3390/s21082866
9007463,article,Syed Shabih Ul Hasan and Anwar Ghani and Ali Daud and Habib Akbar and Muhammad Faizan Khan,2025,"Mobile Authentication: Approaches, Threats and Trends",Sensors,
9202638,article,Mochan Fan and Zhipeng Zhang and Zonghang Li and Gang Sun and Hongfang Yu and Mohsen Guizani,2015,Blockchain-based Decentralized and Lightweight Anonymous Authentication for Federated Learning,JOURNAL OF L\_LATEX CLASS FILES,
9218884,article,Anbiao Huang and Shuo Gao and Junliang Chen and Lijun Xu and Arokia Nathan,2020,High Security User Authentication Enabled by Piezoelectric Keystroke Dynamics and Machine Learning,IEEE Sensors Journal,10.1109/JSEN.2020.3001382
9223704,article,IKRAM UD DIN and KAMRAN HABIB KHAN and AHMAD ALMOGREN and MAHDI ZAREEI and JESÚS ARTURO PÉREZ DÍAZ,2024,Securing the Metaverse: A Blockchain-Enabled Zero-Trust Architecture for Virtual Environments,,10.1109/ACCESS.2024.3423400
9273038,article,Sandeep Kumar and Shilpa Rani and Arpit Jain and Chaman Verma and Maria Simona Raboaca and Zoltán Illés and Bogdan Constantin Neagu,2022,Biometric Authentication on Mobile Devices: A Survey,Sensors,10.3390/s22145160
9421120,article,Zehang Deng and Yongjian Guo and Changzhou Han and Wanlun Ma and Junwu Xiong and Sheng Wen and Yang Xiang,2025,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,ACM Comput. Surv.,10.1145/3716628
9480136,article,Chaitanya Gupta and Ishita Johri and Kathiravan Srinivasan and Yuh-Chung Hu and Saeed Mian Qaisar and Kuo-Yi Huang,2022,A Systematic Review on Machine Learning and Deep Learning Models for Electronic Information Security in Mobile Networks,Sensors,10.3390/s22052017
9691108,article,"Acien, Alejandro and Morales, Aythami and Monaco, John V. and Vera-Rodriguez, Ruben and Fierrez, Julian",2022,TypeNet: Deep Learning Keystroke Biometrics,"IEEE Transactions on Biometrics, Behavior, and Identity Science",10.1109/TBIOM.2021.3112540
9822871,article,Anichur Rahman and Md. Anwar Hussen Wadud and Md. Jahidul Islam and Dipanjali Kundu and T. M. Amir-Ul-Haque Bhuiyan and Ghulam Muhammad and Zulfiqar Ali,2024,Internet of medical things and blockchain-enabled patient-centric agent through SDN for remote patient monitoring in 5G network,,10.1038/s41598-024-55662-w
9855040,article,Luis de-Marcos* and José-Javier Martínez-Herráiz and Javier Junquera-Sánchez and Carlos Cilleruelo and Carmen Pages-Arévalo,2021,Comparing Machine Learning Classifiers for Continuous Authentication on Mobile Devices by Keystroke Dynamics,Electronics,10.3390/electronics10141622
9871196,article,madhur.kamble and hardikb.sailor and hemanta.patil and haizhouli,2020,Advances in anti-spoofing: from the perspective of ASVspoof challenges,Unknown Journal,10.1017/ATSIP.2019.21
9893785,article,"Klein, Itzik",2020,Smartphone Location Recognition: A Deep Learning-Based Approach,Sensors,10.3390/s20010214
9955946,article,Dong In Kim and Shincheol Lee and Ji Sun Shin,2020,A New Feature Scoring Method in Keystroke Dynamics-Based User Authentications,,10.1109/ACCESS.2020.2968918
Awadallah2025,article,"Awadallah, A. and others",2025,Artificial Intelligence-Based Cybersecurity for the Metaverse: Research Challenges and Opportunities,IEEE Communications Surveys \& Tutorials,10.1109/COMST.2024.3442475
DeMarsico2024,article,"De Marsico, M. and Palermo, A.",2024,User gait biometrics in smart ambient applications through wearable accelerometer signals,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-024-04790-2
Kokal2022,article,"Kokal, S. and Pryor, L. and Dave, R.",2022,Exploration of Machine Learning Classification Models Used for Behavioral Biometrics Authentication,ACM International Conference Proceeding Series,10.1145/3543712.3543732
Pryor2021,inproceedings,"Pryor, L. and Dave, R. and Seliya, J. and Sowells-Boone, E.",2021,Machine Learning Algorithms in User Authentication Schemes,"2021 IEEE International Conference on Electrical, Computer and Energy Technologies (ICECET)",10.1109/ICECET52533.2021.9698440
RayDowling2023,article,"Ray-Dowling, A. and Hou, D. and Schuckers, S. Caswell",2023,Stationary mobile behavioral biometrics: A survey,Computers and Security,10.1016/j.cose.2023.103184
Ryu2023,article,"Ryu, R. and Yeom, S. and Herbert, D. and Dermoudy, J.",2023,"The design and evaluation of adaptive biometric authentication systems: Current status, challenges and future direction",ICT Express,10.1016/j.icte.2023.04.003
Shen2022,article,"Shen, Z. and Li, S. and Zhao, X. and Zou, J.",2022,MMAuth: A Continuous Authentication Framework on Smartphones Using Multiple Modalities,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2022.3160361
Stylios2021,article,"Stylios, Ioannis and Kokolakis, Spyros and Thanou, Olga and Chatzis, Sotirios",2021,Behavioral biometrics \& continuous user authentication on mobile devices: A survey,Information Fusion,10.1016/j.inffus.2020.08.021
Sun2020,article,"Sun, F. and Zang, W. and Gravina, R. and Fortino, G. and Li, Y.",2020,Gait-based identification for elderly users in wearable healthcare systems,Information Fusion,10.1016/j.inffus.2019.06.023
Zou2020,article,"Zou, Q. and Wang, Y. and Wang, Q. and Zhao, Y. and Li, Q.",2020,Deep Learning-Based Gait Recognition Using Smartphones in the Wild,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2020.2985628
